"REF_DATE","GEO","DGUID","Non-permanent resident types","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022-01","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","446782","","","","0"
"2022-04","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","450192","","","","0"
"2022-07","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","475124","","","","0"
"2022-10","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","523728","","","","0"
"2023-01","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","566201","","","","0"
"2023-04","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","556154","","","","0"
"2023-07","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","586812","","","","0"
"2023-10","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","661084","","","","0"
"2024-01","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","685835","","","","0"
"2024-04","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","667848","","","","0"
"2024-07","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","669137","","","","0"
"2024-10","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","658942","","","","0"
"2025-01","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","628810","","","","0"
"2025-04","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","583125","","","","0"
"2025-07","Canada","2021A000011124","Study permit holders only","Persons","249","units","0","v1566927598","1.9","551100","","","","0"
"2021-07","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","164855","","","","0"
"2021-10","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","162650","","","","0"
"2022-01","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","161101","","","","0"
"2022-04","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","169053","","","","0"
"2022-07","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","185693","","","","0"
"2022-10","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","204895","","","","0"
"2023-01","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","219616","","","","0"
"2023-04","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","236765","","","","0"
"2023-07","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","271434","","","","0"
"2023-10","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","296263","","","","0"
"2024-01","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","320838","","","","0"
"2024-04","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","346938","","","","0"
"2024-07","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","373792","","","","0"
"2024-10","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","341162","","","","0"
"2025-01","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","330060","","","","0"
"2025-04","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","331112","","","","0"
"2025-07","Canada","2021A000011124","Work and study permit holders","Persons","249","units","0","v1566927599","1.10","312040","","","","0"
"2021-07","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","51505","","","","0"
"2021-10","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","55490","","","","0"
"2022-01","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","53585","","","","0"
"2022-04","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","59362","","","","0"
"2022-07","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","66091","","","","0"
"2022-10","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","74847","","","","0"
"2023-01","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","80765","","","","0"
"2023-04","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","87031","","","","0"
"2023-07","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","96656","","","","0"
"2023-10","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","110176","","","","0"
"2024-01","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","126932","","","","0"
"2024-04","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","145805","","","","0"
"2024-07","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","151067","","","","0"
"2024-10","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","155986","","","","0"
"2025-01","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","152812","","","","0"
"2025-04","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","149837","","","","0"
"2025-07","Canada","2021A000011124","Other","Persons","249","units","0","v1566927600","1.11","143951","","","","0"


