"REF_DATE","GEO","DGUID","Products and product groups","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-02","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","179.2","","","","1"
"2024-03","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","179.9","","","","1"
"2024-04","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","180.8","","","","1"
"2024-05","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","181.5","","","","1"
"2024-06","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","182.1","","","","1"
"2024-07","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","182.5","","","","1"
"2024-08","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","183.3","","","","1"
"2024-09","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","183.5","","","","1"
"2024-10","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","184.8","","","","1"
"2024-11","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","185.3","","","","1"
"2024-12","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","185.8","","","","1"
"2025-01","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","186.4","","","","1"
"2025-02","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","186.7","","","","1"
"2025-03","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","187.0","","","","1"
"2025-04","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","186.9","","","","1"
"2025-05","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","186.9","","","","1"
"2025-06","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","187.3","","","","1"
"2025-07","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","187.9","","","","1"
"2025-08","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","188.0","","","","1"
"2025-09","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","188.2","","","","1"
"2025-10","Canada","2016A000011124","Shelter","2002=100","17","units","0","v41690916","1.3","189.4","","","","1"


